"url","titleStatus","descriptionStatus","canonicalStatus","hreflangStatus","priority"
"https://cowinmagnet.co.za/en-za/news/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/news/magnetic-separator-for-coal-handling/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/news/magnetic-separator-maintenance/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/news/permanent-vs-electromagnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/privacy-policy/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/conveyor-metal-detector/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/cbs-drawer-type-magnetic-filter/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/clc-type-slot-magnetic-filter/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/clc-type-wet-slot-magnetic-filter/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/cyg-wet-pipeline-magnetic-filter/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/drawer-magnet/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/hump-magnet/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/magnetic-grid/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/magnetic-rod/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/magnetic-trap/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/permanent-filter-bar-magnetic-neodymium-rod/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/rcyz-type-pipeline-magnetic-filter/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/rotary-pipe-magnet/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/belt-high-gradient-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cbz-type-rotary-automatic-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cgb-type-rotary-semi-automatic-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cgt-type-super-strong-full-magnetic-drum/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ctb-type-semi-countercurrent-wet-selection-machine/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ctb-wet-semi-countercurrent-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ctn-type-full-countercurrent-wet-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ctn-type-specialized-magnetic-separator-for-coal-washing/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ctn-wet-full-countercurrent-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ctq-type-roller-automatic-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cts-type-downstream-wet-pre-selection-machine/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cts-type-wet-co-current-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ctz-type-midfield-strong-semi-magnetic-drum/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ctzs-type-upward-suction-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cxj-drum-type-automatic-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separation/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/dhd-type-roller-type-automatic-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/dhj-type-strong-roller-automatic-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/disc-magnetic-separator-for-tailing/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/drum-magnet/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/dry-drum-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/high-frequency-screen/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/hjlh-type-vertical-ring-high-gradient-magnetic-separation/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/hjlh-wet-vertical-ring-high-gradient-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/hjpc-wet-disc-magnetic-separation/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/hmdn-coal-washing-special-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/ljk-type-magnetic-ore-special-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/magnetic-head-pulley/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/nct-type-concentrated-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/qcg-wet-roller-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/rct-type-fully-magnetic-drum/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/round-electromagnetic-lifting-magnet/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/wbc-semi-magnetic-tailings-recovery-machine/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/wet-drum-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/metal-detection-and-recycling-sorting/dls-type-window-metal-detector/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/metal-detection-and-recycling-sorting/eccentric-eddy-current-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/metal-detection-and-recycling-sorting/gjt-type-window-metal-detector/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/metal-detection-and-recycling-sorting/hecp-eddy-current-metal-sorting-machine/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/metal-detection-and-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/metal-detection-and-recycling-sorting/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/metal-detection-and-recycling-sorting/stainless-steel-separation-conveyor/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/electromagnet-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/kgla-series-rectifier-control-box/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/permanent-overband-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcda-type-air-cooled-electromagnetic-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcde-type-oil-cooled-electromagnetic-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcyb-type-permanent-magnet-manual-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcyd-type-permanent-magnet-self-dumping-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcydii-type-permanent-magnet-self-dumping-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcye-type-permanent-magnet-self-dumping-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/suspended-electromagnetic-conveyor-belt-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/products/suspended-and-self-unloading-iron-removers/suspended-permanent-magnetic-separator/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/request-a-quote/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/search/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/coastal-corrosive-environments/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/conveyor-belt-protection/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/conveyor-protection/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/crusher-protection/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/ferrous-metal-recovery/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/heavy-duty-mining-applications/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/high-temperature-applications/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/non-ferrous-metal-recovery/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/outdoor-dusty-environments/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/remote-mining-sites/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/self-cleaning-magnetic-separation/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/solutions/tramp-iron-removal/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/after-sales-process/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/coastal-corrosion-protection/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/dust-protection/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/electrical-specification-guide/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/high-temperature-configuration/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/installation-guide/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/maintenance-guide/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/outdoor-installation/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/product-selection-guide/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/technical-support/spare-parts-support/","present","present","valid","present","review"
"https://cowinmagnet.co.za/en-za/terms-and-conditions/","present","present","valid","present","review"
