"name","series","model","currentProductUrl","productCategory","productType","magnetType","cleaningMode","availability","verifiedSpecCount","pendingSpecCount","imageCount","imageRights","applications","selectionInputs","supplierConfirmed","sourceStatus","duplicateLegacyRoutes"
"Dry Drum Magnetic Separator","Dry Drum Magnetic Separator","To be confirmed","/en-za/products/magnetic-separation-equipment/dry-drum-magnetic-separator/","Magnetic Separation Equipment","Dry magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Dry mineral pre-concentration and beneficiation reviews | Prepared ore and bulk-material separation stages | Coal or mineral feed preparation where applicable | Recovery or cleaning stages subject to material assessment","Mineral type and magnetic response | Feed particle-size distribution and moisture | Feed rate and separation objective | Feed preparation, dust control and discharge arrangement | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"Wet Drum Magnetic Separator","Wet Drum Magnetic Separator","To be confirmed","/en-za/products/magnetic-separation-equipment/wet-drum-magnetic-separator/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content","/en-za/products/wet-drum-magnetic-separator/"
"CBZ type rotary automatic magnetic separator","CBZ","CBZ","/en-za/products/magnetic-separation-equipment/cbz-type-rotary-automatic-magnetic-separator/","Magnetic Separation Equipment","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content",""
"CGB type rotary semi-automatic magnetic separator","CGB","CGB","/en-za/products/magnetic-separation-equipment/cgb-type-rotary-semi-automatic-magnetic-separator/","Magnetic Separation Equipment","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"CQZ type fully automatic online magnetic separator","CQZ","CQZ","/en-za/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separator/","Magnetic Separation Equipment","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"CTN wet full countercurrent magnetic separator","CTN","CTN","/en-za/products/magnetic-separation-equipment/ctn-wet-full-countercurrent-magnetic-separator/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CTS type wet co current magnetic separator","CTS","CTS","/en-za/products/magnetic-separation-equipment/cts-type-wet-co-current-magnetic-separator/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CXJ drum type automatic magnetic separator","CXJ","CXJ","/en-za/products/magnetic-separation-equipment/cxj-drum-type-automatic-magnetic-separator/","Magnetic Separation Equipment","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"DCZ type dry fully automatic magnetic separator","DCZ","DCZ","/en-za/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separator/","Magnetic Separation Equipment","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content",""
"GLS type integral channel metal separator","GLS","GLS","/en-za/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator/","Magnetic Separation Equipment","Industrial metal detector","metal_detection","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Crusher-feed and quarry conveyor protection | Coal and bulk-material handling lines | Mining and mineral-processing conveyors | Cement and aggregate material inspection","Detection aperture and conveyor geometry | Target metal, test-piece requirement and sensitivity objective | Material burden, particle size and conveyor speed | Alarm, stop or reject interlock requirement | Electrical supply and environmental conditions","project confirmation required","synced-main-site-public-content",""
"CGT type super strong full magnetic drum","CGT","CGT","/en-za/products/magnetic-separation-equipment/cgt-type-super-strong-full-magnetic-drum/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CTZ type midfield strong semi magnetic drum","CTZ","CTZ","/en-za/products/magnetic-separation-equipment/ctz-type-midfield-strong-semi-magnetic-drum/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"RCDA type air-cooled electromagnetic iron remover","RCDA","RCDA","/en-za/products/magnetic-separation-equipment/rcda-type-air-cooled-electromagnetic-iron-remover/","Magnetic Separation Equipment","Electromagnetic suspended separator","electromagnetic","manual","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Quarry and cement conveyor protection | Bulk-material transfer points","Conveyor belt width, speed, burden depth and suspension height | Expected tramp iron profile and process duty | Site voltage, frequency, phases and protection requirements | Cooling clearance, dust control and maintenance access | Installation structure and safe manual-cleaning arrangement","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcda-type-air-cooled-electromagnetic-iron-remover/"
"RCDC type air-cooled self dumping electromagnetic iron remover","RCDC","RCDC","/en-za/products/magnetic-separation-equipment/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/","Magnetic Separation Equipment","Self-cleaning electromagnetic iron remover","electromagnetic","self_cleaning","Available subject to project and supplier confirmation","0","11","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Heavy-duty aggregate and cement conveyors | Ports and bulk-material handling","Conveyor belt width, speed, burden depth and suspension height | Expected tramp iron profile, discharge direction and duty cycle | Site voltage, frequency, phases and control requirements | Cooling clearance, discharge-belt space and access | Dust, humidity, corrosion and outdoor exposure","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/"
"RCDE type oil cooled electromagnetic iron remover","RCDE","RCDE","/en-za/products/magnetic-separation-equipment/rcde-type-oil-cooled-electromagnetic-iron-remover/","Magnetic Separation Equipment","Electromagnetic suspended separator","electromagnetic","manual","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Quarry and cement conveyor protection | Bulk-material transfer points","Conveyor belt width, speed, burden depth and suspension height | Expected tramp iron profile and process duty | Site voltage, frequency, phases and protection requirements | Cooling clearance, dust control and maintenance access | Installation structure and safe manual-cleaning arrangement","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcde-type-oil-cooled-electromagnetic-iron-remover/"
"RCDF oil cooled self dumping electromagnetic iron remover","RCDF","RCDF","/en-za/products/magnetic-separation-equipment/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/","Magnetic Separation Equipment","Self-cleaning electromagnetic iron remover","electromagnetic","self_cleaning","Available subject to project and supplier confirmation","0","11","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Heavy-duty aggregate and cement conveyors | Ports and bulk-material handling","Conveyor belt width, speed, burden depth and suspension height | Expected tramp iron profile, discharge direction and duty cycle | Site voltage, frequency, phases and control requirements | Cooling clearance, discharge-belt space and access | Dust, humidity, corrosion and outdoor exposure","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/"
"RCDFJ type forced oil circulation self dumping electromagnetic iron remover","RCDFJ","RCDFJ","/en-za/products/magnetic-separation-equipment/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/","Magnetic Separation Equipment","Self-cleaning electromagnetic iron remover","electromagnetic","self_cleaning","Available subject to project and supplier confirmation","0","11","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Heavy-duty aggregate and cement conveyors | Ports and bulk-material handling","Conveyor belt width, speed, burden depth and suspension height | Expected tramp iron profile, discharge direction and duty cycle | Site voltage, frequency, phases and control requirements | Cooling clearance, discharge-belt space and access | Dust, humidity, corrosion and outdoor exposure","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/"
"RCPS self dumping disc type permanent magnet iron remover","RCPS","RCPS","/en-za/products/magnetic-separation-equipment/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/","Magnetic Separation Equipment","Permanent self-cleaning iron remover","permanent","self_cleaning","Available subject to project and supplier confirmation","0","11","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Aggregate and cement conveyor protection | Ports and bulk-material handling","Conveyor belt width, speed and material burden depth | Suspension height, installation direction and discharge side | Expected tramp iron size, frequency and duty cycle | Space for the discharge belt, guards and maintenance | Dust, corrosion, temperature and outdoor exposure","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/"
"RCT type fully magnetic drum","RCT","RCT","/en-za/products/magnetic-separation-equipment/rct-type-fully-magnetic-drum/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"RCYA type inclined pipeline permanent magnet iron remover","RCYA","RCYA","/en-za/products/magnetic-separation-equipment/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/","Magnetic Separation Equipment","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/"
"RCYDII type permanent magnet self dumping iron remover","RCYDII","RCYDII","/en-za/products/magnetic-separation-equipment/rcydii-type-permanent-magnet-self-dumping-iron-remover/","Magnetic Separation Equipment","Permanent self-cleaning iron remover","permanent","self_cleaning","Available subject to project and supplier confirmation","0","11","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Aggregate and cement conveyor protection | Ports and bulk-material handling","Conveyor belt width, speed and material burden depth | Suspension height, installation direction and discharge side | Expected tramp iron size, frequency and duty cycle | Space for the discharge belt, guards and maintenance | Dust, corrosion, temperature and outdoor exposure","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcydii-type-permanent-magnet-self-dumping-iron-remover/"
"RCYE type permanent magnet self dumping iron remover","RCYE","RCYE","/en-za/products/magnetic-separation-equipment/rcye-type-permanent-magnet-self-dumping-iron-remover/","Magnetic Separation Equipment","Permanent self-cleaning iron remover","permanent","self_cleaning","Available subject to project and supplier confirmation","0","11","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Aggregate and cement conveyor protection | Ports and bulk-material handling","Conveyor belt width, speed and material burden depth | Suspension height, installation direction and discharge side | Expected tramp iron size, frequency and duty cycle | Space for the discharge belt, guards and maintenance | Dust, corrosion, temperature and outdoor exposure","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcye-type-permanent-magnet-self-dumping-iron-remover/"
"RCYF type vertical pipeline permanent magnet iron remover","RCYF","RCYF","/en-za/products/magnetic-separation-equipment/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/","Magnetic Separation Equipment","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/"
"RCYG type pipeline self dumping permanent magnet iron remover","RCYG","RCYG","/en-za/products/magnetic-separation-equipment/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/","Magnetic Separation Equipment","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/"
"RCYP type permanent magnet manual self dumping iron remover","RCYP","RCYP","/en-za/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/","Magnetic Separation Equipment","Permanent magnetic separator","permanent","manual","Available subject to project and supplier confirmation","0","10","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Quarry and cement raw-material conveyors | Ports and bulk-material handling","Conveyor belt width, speed and material burden depth | Suspension height and available structural support | Expected size and frequency of ferromagnetic tramp material | Safe access and isolation procedure for manual cleaning | Dust, corrosion, temperature and outdoor exposure","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/"
"RCYZ type vertical pipeline permanent magnet iron remover","RCYZ","RCYZ","/en-za/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover/","Magnetic Separation Equipment","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover/"
"CQZ type fully automatic online magnetic separation","CQZ","CQZ","/en-za/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation/","Magnetic Separation Equipment","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"CTB wet semi countercurrent magnetic separator","CTB","CTB","/en-za/products/magnetic-separation-equipment/ctb-wet-semi-countercurrent-magnetic-separator/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"DCX wet fully automatic magnetic separator","DCX","DCX","/en-za/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
