"slug","product","productType","missingField","publicTreatment","action"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Electromagnetic suspended separator","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Electromagnetic suspended separator","Control arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Electromagnetic suspended separator","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Electromagnetic suspended separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"round-electromagnetic-lifting-magnet","Round Electromagnetic Lifting Magnet","Industrial magnetic-process auxiliary equipment","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"round-electromagnetic-lifting-magnet","Round Electromagnetic Lifting Magnet","Industrial magnetic-process auxiliary equipment","Application duty","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"round-electromagnetic-lifting-magnet","Round Electromagnetic Lifting Magnet","Industrial magnetic-process auxiliary equipment","Installation interface","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"round-electromagnetic-lifting-magnet","Round Electromagnetic Lifting Magnet","Industrial magnetic-process auxiliary equipment","Operating condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"round-electromagnetic-lifting-magnet","Round Electromagnetic Lifting Magnet","Industrial magnetic-process auxiliary equipment","Power supply where applicable","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"round-electromagnetic-lifting-magnet","Round Electromagnetic Lifting Magnet","Industrial magnetic-process auxiliary equipment","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"round-electromagnetic-lifting-magnet","Round Electromagnetic Lifting Magnet","Industrial magnetic-process auxiliary equipment","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Suitable belt width","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Material burden depth","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Discharge belt arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Drive configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Belt speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Iron discharge direction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Permanent self-cleaning iron remover","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Suitable belt width","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Material burden depth","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Discharge belt arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Drive configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Belt speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Iron discharge direction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD Permanent Self-Cleaning Iron Remover","Permanent self-cleaning iron remover","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Input power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Cooling configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Duty cycle","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Insulation and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Discharge belt drive","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Belt speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Control and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD Self-Cooling Electromagnetic Iron Remover","Self-cleaning electromagnetic iron remover","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Suitable belt width","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Material burden depth","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Cleaning arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Installation direction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Permanent magnetic separator","Test method","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","Industrial magnetic-process auxiliary equipment","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","Industrial magnetic-process auxiliary equipment","Application duty","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","Industrial magnetic-process auxiliary equipment","Installation interface","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","Industrial magnetic-process auxiliary equipment","Operating condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","Industrial magnetic-process auxiliary equipment","Power supply where applicable","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","Industrial magnetic-process auxiliary equipment","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","Industrial magnetic-process auxiliary equipment","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"belt-high-gradient-magnetic-separator","Belt High-Gradient Magnetic Separator","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"belt-high-gradient-magnetic-separator","Belt High-Gradient Magnetic Separator","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"belt-high-gradient-magnetic-separator","Belt High-Gradient Magnetic Separator","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"belt-high-gradient-magnetic-separator","Belt High-Gradient Magnetic Separator","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"belt-high-gradient-magnetic-separator","Belt High-Gradient Magnetic Separator","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"belt-high-gradient-magnetic-separator","Belt High-Gradient Magnetic Separator","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"belt-high-gradient-magnetic-separator","Belt High-Gradient Magnetic Separator","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"belt-high-gradient-magnetic-separator","Belt High-Gradient Magnetic Separator","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"belt-high-gradient-magnetic-separator","Belt High-Gradient Magnetic Separator","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","High-gradient or specialist mineral magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","High-gradient or specialist mineral magnetic separator","Applicable mineral","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","High-gradient or specialist mineral magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","High-gradient or specialist mineral magnetic separator","Magnetic field configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","High-gradient or specialist mineral magnetic separator","Slurry density or feed condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","High-gradient or specialist mineral magnetic separator","Water requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","High-gradient or specialist mineral magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","High-gradient or specialist mineral magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","High-gradient or specialist mineral magnetic separator","Testwork requirement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Dry magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Dry magnetic separator","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Dry magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Dry magnetic separator","Feed moisture","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Dry magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Dry magnetic separator","Feed arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Dry magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Dry magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet magnetic separator","Drum diameter × length","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet magnetic separator","Tank type","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet magnetic separator","Feed particle size","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet magnetic separator","Slurry density","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet magnetic separator","Process capacity","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet magnetic separator","Drum speed","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet magnetic separator","Power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Wet magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","Industrial magnetic-process auxiliary equipment","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","Industrial magnetic-process auxiliary equipment","Application duty","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","Industrial magnetic-process auxiliary equipment","Installation interface","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","Industrial magnetic-process auxiliary equipment","Operating condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","Industrial magnetic-process auxiliary equipment","Power supply where applicable","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","Industrial magnetic-process auxiliary equipment","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","Industrial magnetic-process auxiliary equipment","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","Magnetic filter or separator component","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","Magnetic filter or separator component","Opening or pipe connection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","Magnetic filter or separator component","Magnetic element arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","Magnetic filter or separator component","Material of construction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","Magnetic filter or separator component","Flow or pressure condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","Magnetic filter or separator component","Temperature condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","Magnetic filter or separator component","Cleaning method","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","Magnetic filter or separator component","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","Magnetic filter or separator component","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","Magnetic filter or separator component","Opening or pipe connection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","Magnetic filter or separator component","Magnetic element arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","Magnetic filter or separator component","Material of construction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","Magnetic filter or separator component","Flow or pressure condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","Magnetic filter or separator component","Temperature condition","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","Magnetic filter or separator component","Cleaning method","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","Magnetic filter or separator component","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
